Study_ID,Scientific_name,Common_name,N_offspring_sampled,EPY_percent,N_broods_sampled,EPP_percent,Lat,Long,nest_box,marker_type,nest_type,year_of_study_START,year_of_study_END,study_duration,breeding_start,breeding_end,Scientific_name_amended,Jetz_name,Clements_name,BIRDBASE_clements_names,breeding_system,parental_care,mono_poly_model,cooperative_breeding,body_mass,CS_max,nest_type_model,marker_type_model,nest_box_model,study_duration_num,coloniality,migration,MonoBIRDBASE,PolyBIRDBASE,n_mixed_broods,n_non_mixed_broods,n_EPY_offspring,n_WPY_offspring
27Møller1997,Hirundo_rustica,barn_swallow,261,28,63,33.3,57.2,10,no,DNA_fingerprinting,CP,1988,1989,2,NA,NA,Hirundo_rustica,Hirundo_rustica,Hirundo_rustica,Hirundo_rustica,monogamy,biparental,monogamy,no,19.35,7,open,DNA_fingerprinting,no,2,1,Strong,Mono,NA,21,42,73,188
443Laskemoen2013,Hirundo_rustica,barn_swallow,108,23.1,25,60,49.07,14.73,NA,NA,CP,NA,NA,#VALUE!,May,August,Hirundo_rustica,Hirundo_rustica,Hirundo_rustica,Hirundo_rustica,monogamy,biparental,monogamy,no,19.35,7,open,NA,NA,NA,1,Strong,Mono,NA,15,10,25,83
181Ellegren1997,Hirundo_rustica,barn_swallow,80,30,18,50,50.5,30.82,no,microsatellite,CP,1991,1996,6,May,August,Hirundo_rustica,Hirundo_rustica,Hirundo_rustica,Hirundo_rustica,monogamy,biparental,monogamy,no,19.35,7,open,microsatellite,no,6,1,Strong,Mono,NA,9,9,24,56
72Eikenaar2011,Hirundo_rustica,barn_swallow,424,34.2,94,55.3,37.22,-80.42,no,microsatellite,CP,2009,2010,2,April,August,Hirundo_rustica,Hirundo_rustica,Hirundo_rustica,Hirundo_rustica,monogamy,biparental,monogamy,no,19.35,7,open,microsatellite,no,2,1,Strong,Mono,NA,52,42,145,279
305Hasegawa2010,Hirundo_rustica,barn_swallow,296,2.7,65,7.7,37.12,138.02,no,microsatellite,CP,2005,2006,2,April,August,Hirundo_rustica,Hirundo_rustica,Hirundo_rustica,Hirundo_rustica,monogamy,biparental,monogamy,no,19.35,7,open,microsatellite,no,2,1,Strong,Mono,NA,5,60,8,288
472 Kojima2009,Hirundo_rustica,barn_swallow,301,15.6,71,26.7,35.22,139.88,no,microsatellite,CP,2006,2007,2,April,August,Hirundo_rustica,Hirundo_rustica,Hirundo_rustica,Hirundo_rustica,monogamy,biparental,monogamy,no,19.35,7,open,microsatellite,no,2,1,Strong,Mono,NA,19,52,47,254
26Moller2003,Hirundo_rustica,barn_swallow,674,17.8,170,32.4,38.83,-6.98,no,microsatellite,CP,1994,1994,1,March,June,Hirundo_rustica,Hirundo_rustica,Hirundo_rustica,Hirundo_rustica,monogamy,biparental,monogamy,no,19.35,7,open,microsatellite,no,1,1,Strong,Mono,NA,55,115,120,554
105Neuman2007,Hirundo_rustica,barn_swallow,NA,NA,53,49.1,42.35,-76.5,no,microsatellite,CP,2002,2002,1,May,August,Hirundo_rustica,Hirundo_rustica,Hirundo_rustica,Hirundo_rustica,monogamy,biparental,monogamy,no,19.35,7,open,microsatellite,no,1,1,Strong,Mono,NA,26,27,NA,NA
184Smith1991,Hirundo_rustica,barn_swallow,NA,NA,11,45.5,44.55,-76.32,no,NA,CP,1989,1989,1,May,August,Hirundo_rustica,Hirundo_rustica,Hirundo_rustica,Hirundo_rustica,monogamy,biparental,monogamy,no,19.35,7,open,NA,no,1,1,Strong,Mono,NA,5,6,NA,NA
478Vortman2011,Hirundo_rustica,barn_swallow,NA,16,41,NA,32.97,35.55,no,microsatellite,CP,2006,2008,3,November,July,Hirundo_rustica,Hirundo_rustica,Hirundo_rustica,Hirundo_rustica,monogamy,biparental,monogamy,no,19.35,7,open,microsatellite,no,3,1,Strong,Mono,NA,NA,NA,NA,NA
315Evans2008,Hylocichla_mustelina,wood_thrush,151,6,51,13.7,41.77,-79.93,no,microsatellite,CP,2002,2004,3,May,July,Hylocichla_mustelina,Hylocichla_mustelina,Hylocichla_mustelina,Hylocichla_mustelina,monogamy,biparental,monogamy,no,53.875,4,open,microsatellite,no,3,0,Strong,Mono,NA,7,44,9,142
314Evans2009,Hylocichla_mustelina,wood_thrush,112,40.2,36,66.7,43.25,-80.88,no,microsatellite,CP,2002,2003,2,May,July,Hylocichla_mustelina,Hylocichla_mustelina,Hylocichla_mustelina,Hylocichla_mustelina,monogamy,biparental,monogamy,no,53.875,4,open,microsatellite,no,2,0,Strong,Mono,NA,24,12,45,67
314Evans2009,Empidonax_virescens,acadian_flycatcher,29,14,12,25,NA,NA,no,microsatellite,CP,2002,2003,2,May,June,Empidonax_virescens,Empidonax_virescens,Empidonax_virescens,Empidonax_virescens,monogamy,biparental,NA,NA,12.63333333,4,open,microsatellite,no,2,0,Strong,NA,NA,3,9,4,25
414Triggs1991,Hymenolaimus_malacorhynchos,blue_duck,14,0,10,0,-39.38,175.13,no,DNA_fingerprinting,"CR,CV",1987,1988,2,August,December,Hymenolaimus_malacorhynchos,Hymenolaimus_malacorhynchos,Hymenolaimus_malacorhynchos,Hymenolaimus_malacorhynchos,monogamy,biparental,monogamy,NA,861.75,6,cavity,DNA_fingerprinting,no,2,0,Weak,Mono,NA,0,10,0,14
73Miño2011a,Icteria_virens_auricollis,yellow-breasted_chat,73,30.7,NA,50.9,NA,NA,no,microsatellite,CP,2009,2009,1,NA,NA,Icteria_virens,Icteria_virens,Icteria_virens,Icteria_virens,monogamy,NA,NA,NA,27.5,5,open,microsatellite,no,1,0,Weak,NA,NA,NA,NA,22,51
138Richardson1999,Icterus_galbula,Bullock´s_oriole,202,32.2,48,45.8,36.37,-121.55,no,DNA_fingerprinting,PN,1994,1995,2,March,June,Icterus_galbula,Icterus_galbula,Icterus_galbula,Icterus_galbula,monogamy,biparental,monogamy,NA,33.43333333,7,other_enclosed,DNA_fingerprinting,no,2,0,Strong,Mono,NA,22,26,65,137
195Lopes2013,Jabiru_mycteria,jabiru,40,7.69,20,10,-17,-56,no,microsatellite,NA,NA,NA,#VALUE!,June,September,Jabiru_mycteria,Jabiru_mycteria,Jabiru_mycteria,Jabiru_mycteria,monogamy,biparental,NA,NA,6164.5,5,NA,microsatellite,no,NA,1,Weak,NA,NA,2,18,3,37
